TIP_DATETIME,ORIGIN,MASS,TRUCK_ID,ROCKY_RATIO
2024-07-24T11:32:30.000000,ZONE14,248.7,DT5,4.093
2024-07-24T11:35:30.000000,ZONE4,248.2,DT9,3.232
2024-07-24T11:39:30.000000,ZONE14,228.2,DT29,4.071
2024-07-24T11:43:30.000000,ZONE4,277.6,DT2,3.295
2024-07-24T11:51:30.000000,ZONE4,258.399,DT9,3.27
2024-07-24T11:55:30.000000,ZONE14,243.3,DT21,4.025
2024-07-24T11:58:30.000000,ZONE4,271.9,DT2,3.303
2024-07-24T12:03:30.000000,ZONE4,260.6,DT9,3.268
2024-07-24T12:11:30.000000,ZONE4,279.4,DT2,3.288
2024-07-24T12:19:30.000000,ZONE4,251.3,DT9,3.295
2024-07-24T12:26:30.000000,ZONE4,268.3,DT1,3.312
2024-07-24T12:32:30.000000,ZONE25,223.8,DT17,1.052
2024-07-24T12:35:30.000000,ZONE4,250.7,DT2,3.279
2024-07-24T12:39:30.000000,ZONE25,237.5,DT33,1.025
2024-07-24T12:43:30.000000,ZONE4,264.1,DT9,3.271
2024-07-24T12:47:30.000000,ZONE25,243.9,DT25,1.015
2024-07-24T12:51:30.000000,ZONE25,232.6,DT4,1.093
2024-07-24T12:57:30.000000,ZONE4,238.1,DT1,3.284
2024-07-24T13:00:30.000000,ZONE4,249.5,DT2,3.262
2024-07-24T13:04:30.000000,ZONE25,266.399,DT34,1.056
2024-07-24T13:08:30.000000,ZONE4,242.2,DT5,3.314
2024-07-24T13:11:30.000000,ZONE25,251,DT10,1.054
2024-07-24T13:15:30.000000,ZONE25,264.2,DT21,1.02
2024-07-24T13:20:30.000000,ZONE25,258.3,DT11,1.061
2024-07-24T13:23:30.000000,ZONE7,260.5,DT33,2.012
2024-07-24T13:27:30.000000,ZONE25,275.4,DT4,1.1
2024-07-24T13:32:30.000000,ZONE25,228,DT7,1.032
2024-07-24T13:35:30.000000,ZONE7,252.4,DT23,2.099
2024-07-24T13:39:30.000000,ZONE25,232.3,DT15,1.091
2024-07-24T13:43:30.000000,ZONE24,246.8,DT28,1.036
2024-07-24T13:47:30.000000,ZONE25,259.4,DT22,1.084
2024-07-24T13:52:30.000000,ZONE25,265.1,DT24,1.07
2024-07-24T14:14:30.000000,ZONE24,262.8,DT20,1.04
2024-07-24T14:19:30.000000,ZONE7,262.899,DT7,2.058
2024-07-24T14:23:30.000000,ZONE24,244.3,DT23,1.086
2024-07-24T14:28:30.000000,ZONE24,256.9,DT27,1.013
2024-07-24T14:32:30.000000,ZONE4,244.9,DT10,3.275
2024-07-24T14:35:30.000000,ZONE4,253,DT11,3.247
2024-07-24T14:39:30.000000,ZONE4,252.2,DT21,3.274
2024-07-24T14:46:30.000000,ZONE4,257.9,DT11,3.257
2024-07-24T14:51:30.000000,ZONE4,262.3,DT21,3.277
2024-07-24T14:56:30.000000,ZONE24,231.8,DT28,1.065
2024-07-24T14:59:30.000000,ZONE4,239.2,DT11,3.304
2024-07-24T15:03:30.000000,ZONE4,260.3,DT21,3.321
2024-07-24T15:09:30.000000,ZONE4,252.6,DT22,3.273
2024-07-24T15:12:30.000000,ZONE27,260.9,DT7,2.074
2024-07-24T15:16:30.000000,ZONE4,258.3,DT21,3.246
2024-07-24T15:20:30.000000,ZONE24,245.9,DT27,1.026
2024-07-24T15:24:30.000000,ZONE14,276.1,DT24,4.055
2024-07-24T15:27:30.000000,ZONE24,243.1,DT10,1.061
2024-07-24T15:33:30.000000,ZONE4,269.5,DT22,3.284
2024-07-24T15:38:30.000000,ZONE24,219,DT25,1.066
2024-07-24T15:41:30.000000,ZONE4,263.3,DT21,3.258
2024-07-24T15:45:30.000000,ZONE28,218.5,DT34,1.023
2024-07-24T15:48:30.000000,ZONE10,208.6,DT23,1.034
2024-07-24T15:51:30.000000,ZONE8,254.7,DT22,2.432
2024-07-24T15:55:30.000000,ZONE8,243.1,DT21,2.432
2024-07-24T16:02:30.000000,ZONE28,240.2,DT11,1.076
2024-07-24T16:05:30.000000,ZONE8,263.3,DT22,2.432
2024-07-24T16:08:30.000000,ZONE8,256.9,DT21,2.432
2024-07-24T16:21:30.000000,ZONE8,243.5,DT22,2.432
2024-07-24T16:24:30.000000,ZONE8,256.1,DT21,2.432
2024-07-24T16:27:30.000000,ZONE28,252.1,DT15,1.033
2024-07-24T16:32:30.000000,ZONE10,250.5,DT9,1.075
2024-07-24T16:36:30.000000,ZONE8,233.4,DT22,2.432
2024-07-24T16:39:30.000000,ZONE10,257.5,DT20,1.012
2024-07-24T16:44:30.000000,ZONE8,246.1,DT21,2.432
2024-07-24T16:48:30.000000,ZONE28,242.4,DT18,1.095
2024-07-24T16:53:30.000000,ZONE8,236.4,DT22,2.432
2024-07-24T16:56:30.000000,ZONE7,247.4,DT24,2.019
2024-07-24T17:00:30.000000,ZONE7,244.3,DT11,2.039
2024-07-24T17:04:30.000000,ZONE28,250.5,DT19,1.092
2024-07-24T17:15:30.000000,ZONE8,246.5,DT22,2.432
2024-07-24T17:18:30.000000,ZONE8,229.8,DT23,2.432
2024-07-24T17:25:30.000000,ZONE14,252.4,DT15,4.029
2024-07-24T17:28:30.000000,ZONE7,239.8,DT7,2.094
2024-07-24T17:32:30.000000,ZONE24,225.2,DT21,1.013
2024-07-24T17:36:30.000000,ZONE24,242.7,DT6,1.083
2024-07-24T17:40:30.000000,ZONE14,233.5,DT18,4.058
2024-07-24T17:44:30.000000,ZONE24,237.4,DT24,1.063
2024-07-24T17:50:30.000000,ZONE8,232.9,DT15,2.432
2024-07-24T17:53:30.000000,ZONE24,237.4,DT22,1.089
2024-07-24T18:01:30.000000,ZONE8,235.2,DT15,2.432
2024-07-24T18:06:30.000000,ZONE28,247.8,DT23,1.074
2024-07-24T18:15:30.000000,ZONE8,237.5,DT15,2.432
2024-07-24T18:30:30.000000,ZONE28,243.9,DT17,1.044
2024-07-24T18:33:30.000000,ZONE28,241.3,DT11,1.018
2024-07-24T18:41:30.000000,ZONE28,243.3,DT20,1.058
2024-07-24T18:44:30.000000,ZONE28,238.4,DT31,1.06
2024-07-24T18:51:30.000000,ZONE8,270.2,DT11,2.432
2024-07-24T18:56:30.000000,ZONE28,242.2,DT10,1.058
2024-07-24T18:59:30.000000,ZONE14,248.7,DT23,4.092
2024-07-24T18:15:30.000000,ZONE8,255.5,DT15,2.432
2024-07-24T19:11:30.000000,ZONE8,243.1,DT11,2.432
2024-07-24T19:14:30.000000,ZONE27,240,DT16,2.033
2024-07-24T19:19:30.000000,ZONE28,250.4,DT22,1.081
2024-07-24T19:23:30.000000,ZONE8,233.2,DT11,2.432
2024-07-24T19:31:30.000000,ZONE27,251.3,DT31,2.041
2024-07-24T19:34:30.000000,ZONE28,244.5,DT20,1.054
2024-07-24T19:38:30.000000,ZONE8,264.3,DT11,2.432
2024-07-24T19:42:30.000000,ZONE28,262.9,DT6,1.067
2024-07-24T19:50:30.000000,ZONE8,236.6,DT11,2.432
2024-07-24T20:01:30.000000,ZONE8,236.2,DT11,2.432
2024-07-24T20:04:30.000000,ZONE28,244.9,DT16,1.097
2024-07-24T20:14:30.000000,ZONE28,231.1,DT31,1.099
2024-07-24T20:17:30.000000,ZONE8,239.1,DT11,2.432
2024-07-24T20:21:30.000000,ZONE28,220.9,DT25,1.078
2024-07-24T20:27:30.000000,ZONE14,239.8,DT27,4.026
2024-07-24T20:29:30.000000,ZONE8,244.2,DT11,2.432
2024-07-24T20:41:30.000000,ZONE24,218.5,DT18,1.092
2024-07-24T20:44:30.000000,ZONE8,237.4,DT11,2.432
2024-07-24T20:48:30.000000,ZONE24,227.7,DT23,1.056
2024-07-24T20:52:30.000000,ZONE14,234.1,DT10,4.029
2024-07-24T20:56:30.000000,ZONE24,231.2,DT9,1.062
2024-07-24T21:07:30.000000,ZONE24,227.7,DT22,1.054
2024-07-24T21:13:30.000000,ZONE8,244.3,DT11,2.432
2024-07-24T21:16:30.000000,ZONE24,236.9,DT7,1.095
2024-07-24T21:21:30.000000,ZONE24,226.6,DT20,1.011
2024-07-24T21:30:30.000000,ZONE27,251.1,DT24,2.031
2024-07-24T21:33:30.000000,ZONE24,260.4,DT18,1.014
2024-07-24T21:37:30.000000,ZONE24,243,DT10,1.086
2024-07-24T21:41:30.000000,ZONE27,251.8,DT6,2.055
2024-07-24T21:45:30.000000,ZONE8,244.4,DT11,2.432
2024-07-24T21:49:30.000000,ZONE8,250.2,DT19,2.432
2024-07-24T21:52:30.000000,ZONE14,227,DT16,4.011
2024-07-24T21:56:30.000000,ZONE8,253.7,DT25,2.432
2024-07-24T22:36:30.000000,ZONE8,242,DT25,2.432
2024-07-24T22:55:30.000000,ZONE27,204.5,DT4,2.046
2024-07-24T23:03:30.000000,ZONE27,199,DT26,2.027
2024-07-24T22:55:30.000000,ZONE27,232.6,DT4,2.028
2024-07-24T23:15:30.000000,ZONE5,282,DT25,2.326
2024-07-24T23:03:30.000000,ZONE27,236.2,DT26,2.018
2024-07-24T23:20:30.000000,ZONE5,256.5,DT11,2.301
2024-07-24T23:27:30.000000,ZONE5,242.8,DT25,2.317
2024-07-24T23:33:30.000000,ZONE5,256.3,DT11,2.245
2024-07-25T00:33:30.000000,ZONE5,246,DT25,2.201
2024-07-25T00:37:30.000000,ZONE5,256.4,DT19,2.222
2024-07-25T00:41:30.000000,ZONE5,234.5,DT20,2.236
2024-07-25T00:45:30.000000,ZONE5,240.6,DT25,2.247
2024-07-25T00:50:30.000000,ZONE5,244.6,DT19,2.197
2024-07-25T00:57:30.000000,ZONE5,270.4,DT20,2.223
2024-07-25T01:03:30.000000,ZONE5,254,DT25,2.243
2024-07-25T01:09:30.000000,ZONE5,272.1,DT19,2.202
2024-07-25T01:12:30.000000,ZONE26,241.4,DT33,1.01
2024-07-25T01:17:30.000000,ZONE5,245.1,DT20,2.26
2024-07-25T01:20:30.000000,ZONE16,266.5,DT22,1.061
2024-07-25T01:25:30.000000,ZONE5,254.5,DT25,2.188
2024-07-25T01:28:30.000000,ZONE16,257.3,DT15,1.078
2024-07-25T01:33:30.000000,ZONE5,234.5,DT19,2.224
2024-07-25T01:37:30.000000,ZONE5,244.4,DT20,2.229
2024-07-25T01:41:30.000000,ZONE29,272,DT8,1.011
2024-07-25T01:48:30.000000,ZONE5,257.2,DT19,2.258
2024-07-25T01:52:30.000000,ZONE29,254.6,DT33,1.098
2024-07-25T01:56:30.000000,ZONE14,224.8,DT27,4.021
2024-07-25T01:58:30.000000,ZONE5,256.5,DT20,2.214
2024-07-25T02:02:30.000000,ZONE5,253.4,DT19,2.207
2024-07-25T02:15:30.000000,ZONE7,264.3,DT31,2.099
2024-07-25T02:19:30.000000,ZONE5,236.4,DT20,2.249
2024-07-25T02:22:30.000000,ZONE5,236.7,DT19,2.209
2024-07-25T02:26:30.000000,ZONE7,250.2,DT1,2.031
2024-07-25T02:30:30.000000,ZONE26,230.2,DT15,1.05
2024-07-25T02:34:30.000000,ZONE5,237.8,DT20,2.22
2024-07-25T02:38:30.000000,ZONE5,241.3,DT19,2.243
2024-07-25T02:43:30.000000,ZONE29,258.6,DT26,1.063
2024-07-25T02:47:30.000000,ZONE29,268.5,DT9,1.023
2024-07-25T02:51:30.000000,ZONE5,255.7,DT20,2.185
2024-07-25T02:55:30.000000,ZONE7,250.1,DT10,2.019
2024-07-25T02:59:30.000000,ZONE25,244.3,DT22,1.051
2024-07-25T03:03:30.000000,ZONE7,236.8,DT33,2.066
2024-07-25T03:07:30.000000,ZONE5,247.4,DT19,2.188
2024-07-25T03:15:30.000000,ZONE5,265.2,DT12,2.187
2024-07-25T03:18:30.000000,ZONE25,244.2,DT31,1.091
2024-07-25T03:22:30.000000,ZONE5,264.7,DT20,2.286
2024-07-25T03:28:30.000000,ZONE25,245.5,DT28,1.047
2024-07-25T03:32:30.000000,ZONE7,226.5,DT9,2.016
2024-07-25T03:35:30.000000,ZONE7,239.4,DT18,2.053
2024-07-25T03:40:30.000000,ZONE16,233,DT16,1.061
2024-07-25T03:44:30.000000,ZONE7,243.6,DT33,2.08
2024-07-25T03:52:30.000000,ZONE5,246.6,DT25,2.266
2024-07-25T03:49:30.000000,ZONE16,255.5,DT19,1.077
2024-07-25T04:05:30.000000,ZONE7,240.5,DT31,2.093
2024-07-25T04:10:30.000000,ZONE16,265.3,DT1,1.011
2024-07-25T04:01:30.000000,ZONE7,238.9,DT23,2.043
2024-07-25T04:13:30.000000,ZONE7,244.4,DT14,2.095
2024-07-25T04:18:30.000000,ZONE29,237.1,DT24,1.045
2024-07-25T04:27:30.000000,ZONE5,261.5,DT25,2.247
2024-07-25T04:30:30.000000,ZONE29,226.9,DT27,1.013
2024-07-25T04:44:30.000000,ZONE7,257.9,DT8,2.033
2024-07-25T04:49:30.000000,ZONE7,247.1,DT10,2.024
2024-07-25T04:54:30.000000,ZONE29,239.6,DT22,1.077
2024-07-25T05:06:30.000000,ZONE6,265.3,DT22,1.279
2024-07-25T05:10:30.000000,ZONE7,251.4,DT30,2.054
