AREA,LOCATION,EVENT_START,EVENT_END,LENGTH
Primary Crushing - B,Crusher,2024-07-26T10:39:05.000000,2024-07-26T10:45:26.000000,381.0
Primary Crushing - B,Grizzly,2024-07-26T10:51:05.000000,2024-07-26T10:57:26.000000,381.0
Primary Crushing - A,Crusher,2024-07-26T11:00:05.000000,2024-07-26T11:14:26.000000,861.0
Primary Crushing - B,Crusher,2024-07-26T11:20:05.000000,2024-07-26T11:27:26.000000,441.0
Primary Crushing - A,Crusher,2024-07-26T11:32:05.000000,2024-07-26T11:40:26.000000,501.0
Primary Crushing - B,Grizzly,2024-07-26T12:44:05.000000,2024-07-26T12:51:26.000000,441.0
Primary Crushing - A,Crusher,2024-07-26T13:04:05.000000,2024-07-26T13:13:26.000000,561.0
Primary Crushing - B,Grizzly,2024-07-26T13:05:05.000000,2024-07-26T13:15:26.000000,621.0
Primary Crushing - A,Crusher,2024-07-26T13:23:05.000000,2024-07-26T13:44:26.000000,463.9047638976106
Primary Crushing - B,Grizzly,2024-07-26T13:25:05.000000,2024-07-26T13:48:26.000000,753.40677300216
Primary Crushing - A,Crusher,2024-07-26T13:42:05.000000,2024-07-26T13:49:26.000000,441.0
Primary Crushing - B,Grizzly,2024-07-26T13:46:05.000000,2024-07-26T13:54:26.000000,501.0
Primary Crushing - B,Grizzly,2024-07-26T14:47:05.000000,2024-07-26T14:52:26.000000,321.0
Primary Crushing - A,Crusher,2024-07-26T15:00:05.000000,2024-07-26T15:10:26.000000,621.0
Primary Crushing - B,Grizzly,2024-07-26T15:12:05.000000,2024-07-26T15:27:26.000000,921.0
Primary Crushing - B,Crusher,2024-07-26T15:28:05.000000,2024-07-26T15:34:26.000000,381.0
Primary Crushing - B,Grizzly,2024-07-26T16:55:05.000000,2024-07-26T17:06:26.000000,681.0
Primary Crushing - B,Grizzly,2024-07-26T17:32:05.000000,2024-07-26T17:37:26.000000,321.0
Primary Crushing - B,Grizzly,2024-07-26T17:44:05.000000,2024-07-26T17:49:26.000000,274.5607939273171
Primary Crushing - B,Grizzly,2024-07-26T17:47:05.000000,2024-07-26T17:54:26.000000,441.0
Primary Crushing - B,Crusher,2024-07-26T17:52:05.000000,2024-07-26T18:05:26.000000,801.0
Primary Crushing - B,Grizzly,2024-07-26T18:56:05.000000,2024-07-26T19:12:26.000000,981.0
Primary Crushing - B,Grizzly,2024-07-26T19:19:05.000000,2024-07-26T19:25:26.000000,381.0
Primary Crushing - B,Grizzly,2024-07-26T19:27:05.000000,2024-07-26T19:35:26.000000,501.0
Primary Crushing - A,Crusher,2024-07-26T19:29:05.000000,2024-07-26T19:46:26.000000,1041.0
Primary Crushing - B,Crusher,2024-07-26T19:33:05.000000,2024-07-26T20:05:26.000000,1941.0
Primary Crushing - A,Grizzly,2024-07-26T20:32:05.000000,2024-07-26T20:42:26.000000,621.0
Primary Crushing - B,Grizzly,2024-07-26T20:39:05.000000,2024-07-26T20:48:26.000000,561.0
Primary Crushing - B,Grizzly,2024-07-26T20:49:05.000000,2024-07-26T21:12:26.000000,380.6158285950598
Primary Crushing - B,Grizzly,2024-07-26T21:39:05.000000,2024-07-26T21:52:26.000000,801.0
Primary Crushing - B,Grizzly,2024-07-26T22:07:05.000000,2024-07-26T22:13:26.000000,381.0
Primary Crushing - B,Crusher,2024-07-26T22:11:05.000000,2024-07-26T22:24:26.000000,801.0
Primary Crushing - A,Grizzly,2024-07-26T23:09:05.000000,2024-07-26T23:41:26.000000,411.5946856770868
Primary Crushing - B,Grizzly,2024-07-26T23:48:05.000000,2024-07-26T23:53:26.000000,321.0
Primary Crushing - A,Crusher,2024-07-27T00:03:05.000000,2024-07-27T00:11:26.000000,501.0
Primary Crushing - A,Grizzly,2024-07-27T01:25:05.000000,2024-07-27T01:33:26.000000,501.0
Primary Crushing - B,Grizzly,2024-07-27T02:38:05.000000,2024-07-27T02:48:26.000000,621.0
Primary Crushing - A,Grizzly,2024-07-27T02:43:05.000000,2024-07-27T02:48:26.000000,321.0
Primary Crushing - B,Crusher,2024-07-27T02:46:05.000000,2024-07-27T02:56:26.000000,621.0
Primary Crushing - B,Grizzly,2024-07-27T03:26:05.000000,2024-07-27T03:34:26.000000,501.0
Primary Crushing - B,Crusher,2024-07-27T03:37:05.000000,2024-07-27T03:47:26.000000,621.0
Primary Crushing - B,Crusher,2024-07-27T04:03:05.000000,2024-07-27T04:08:26.000000,304.6643086242857
Primary Crushing - A,Grizzly,2024-07-27T06:40:05.000000,2024-07-27T06:53:26.000000,801.0
Primary Crushing - A,Crusher,2024-07-27T07:05:05.000000,2024-07-27T07:15:26.000000,621.0
Primary Crushing - B,Grizzly,2024-07-27T07:21:05.000000,2024-07-27T07:32:26.000000,681.0
Primary Crushing - B,Crusher,2024-07-27T07:53:05.000000,2024-07-27T08:00:26.000000,441.0
Primary Crushing - A,Crusher,2024-07-27T07:55:05.000000,2024-07-27T08:15:26.000000,1221.0
Primary Crushing - A,Grizzly,2024-07-27T08:13:05.000000,2024-07-27T08:45:26.000000,1941.0
Primary Crushing - B,Crusher,2024-07-27T10:57:05.000000,2024-07-27T11:06:26.000000,561.0
Primary Crushing - B,Grizzly,2024-07-27T11:37:05.000000,2024-07-27T11:53:26.000000,981.0
Primary Crushing - A,Crusher,2024-07-27T12:05:05.000000,2024-07-27T12:20:26.000000,921.0
Primary Crushing - B,Crusher,2024-07-27T12:55:05.000000,2024-07-27T13:02:26.000000,441.0
Primary Crushing - A,Crusher,2024-07-27T13:04:05.000000,2024-07-27T13:10:26.000000,381.0
Primary Crushing - B,Grizzly,2024-07-27T13:10:05.000000,2024-07-27T13:19:26.000000,561.0
Primary Crushing - B,Crusher,2024-07-27T13:24:05.000000,2024-07-27T13:36:26.000000,741.0
Primary Crushing - B,Grizzly,2024-07-27T14:05:05.000000,2024-07-27T14:14:26.000000,561.0
Primary Crushing - A,Crusher,2024-07-27T14:37:05.000000,2024-07-27T14:45:26.000000,501.0
Primary Crushing - A,Grizzly,2024-07-27T16:18:05.000000,2024-07-27T16:23:26.000000,321.0
Primary Crushing - B,Crusher,2024-07-27T16:21:05.000000,2024-07-27T16:38:26.000000,1041.0
Primary Crushing - B,Grizzly,2024-07-27T17:12:05.000000,2024-07-27T17:23:26.000000,681.0
Primary Crushing - A,Grizzly,2024-07-27T17:53:05.000000,2024-07-27T18:07:26.000000,861.0
Primary Crushing - B,Grizzly,2024-07-27T17:59:05.000000,2024-07-27T18:14:26.000000,921.0
Primary Crushing - A,Crusher,2024-07-27T18:09:05.000000,2024-07-27T18:19:26.000000,621.0
Primary Crushing - B,Grizzly,2024-07-27T18:34:05.000000,2024-07-27T18:39:26.000000,309.48495030789474
Primary Crushing - B,Grizzly,2024-07-27T19:44:05.000000,2024-07-27T19:54:26.000000,621.0
Primary Crushing - A,Grizzly,2024-07-27T20:13:05.000000,2024-07-27T20:22:26.000000,561.0
Primary Crushing - A,Crusher,2024-07-27T20:50:05.000000,2024-07-27T21:00:26.000000,621.0
Primary Crushing - B,Grizzly,2024-07-27T21:23:05.000000,2024-07-27T21:31:26.000000,501.0
Primary Crushing - B,Crusher,2024-07-27T21:29:05.000000,2024-07-27T21:36:26.000000,441.0
Primary Crushing - A,Grizzly,2024-07-27T22:00:05.000000,2024-07-27T22:17:26.000000,1041.0
Primary Crushing - A,Crusher,2024-07-27T22:20:05.000000,2024-07-27T22:31:26.000000,681.0
Primary Crushing - A,Crusher,2024-07-27T22:45:05.000000,2024-07-27T23:13:26.000000,1701.0
Primary Crushing - B,Grizzly,2024-07-27T22:53:05.000000,2024-07-27T23:00:26.000000,441.0
Primary Crushing - B,Crusher,2024-07-27T23:17:05.000000,2024-07-27T23:31:26.000000,861.0
Primary Crushing - B,Grizzly,2024-07-27T23:44:05.000000,2024-07-27T23:52:26.000000,501.0
Primary Crushing - A,Grizzly,2024-07-28T01:15:05.000000,2024-07-28T01:36:26.000000,1281.0
Primary Crushing - B,Grizzly,2024-07-28T03:52:05.000000,2024-07-28T04:02:26.000000,621.0
Primary Crushing - B,Crusher,2024-07-28T05:17:05.000000,2024-07-28T05:28:26.000000,681.0
Primary Crushing - B,Grizzly,2024-07-28T13:02:05.000000,2024-07-28T13:10:26.000000,501.0
Primary Crushing - B,Crusher,2024-07-28T13:16:05.000000,2024-07-28T13:27:26.000000,282.97449098971964
Primary Crushing - A,Grizzly,2024-07-28T13:35:05.000000,2024-07-28T13:43:26.000000,501.0
Primary Crushing - B,Crusher,2024-07-28T13:40:05.000000,2024-07-28T13:47:26.000000,441.0
Primary Crushing - B,Grizzly,2024-07-28T13:57:05.000000,2024-07-28T14:07:26.000000,621.0
Primary Crushing - A,Grizzly,2024-07-28T14:51:05.000000,2024-07-28T14:57:26.000000,381.0
Primary Crushing - A,Grizzly,2024-07-28T15:11:05.000000,2024-07-28T15:18:26.000000,441.0
Primary Crushing - B,Grizzly,2024-07-28T16:17:05.000000,2024-07-28T16:32:26.000000,921.0
Primary Crushing - A,Grizzly,2024-07-28T17:06:05.000000,2024-07-28T17:12:26.000000,381.0
Primary Crushing - B,Grizzly,2024-07-28T18:38:05.000000,2024-07-28T18:54:26.000000,981.0
Primary Crushing - A,Grizzly,2024-07-28T18:40:05.000000,2024-07-28T18:53:26.000000,801.0
Primary Crushing - B,Grizzly,2024-07-28T19:12:05.000000,2024-07-28T19:24:26.000000,741.0
Primary Crushing - B,Grizzly,2024-07-28T19:53:05.000000,2024-07-28T20:02:26.000000,561.0
Primary Crushing - B,Grizzly,2024-07-28T20:12:05.000000,2024-07-28T20:29:26.000000,1041.0
Primary Crushing - B,Grizzly,2024-07-28T21:21:05.000000,2024-07-28T21:28:26.000000,441.0
Primary Crushing - A,Grizzly,2024-07-28T21:34:05.000000,2024-07-28T22:01:26.000000,1641.0
Primary Crushing - A,Crusher,2024-07-28T22:03:05.000000,2024-07-28T22:17:26.000000,861.0
Primary Crushing - A,Grizzly,2024-07-28T22:46:05.000000,2024-07-28T23:01:26.000000,921.0
Primary Crushing - B,Grizzly,2024-07-28T22:56:05.000000,2024-07-28T23:04:26.000000,501.0
Primary Crushing - A,Crusher,2024-07-28T23:18:05.000000,2024-07-28T23:25:26.000000,441.0
Primary Crushing - A,Crusher,2024-07-28T23:57:05.000000,2024-07-29T00:19:26.000000,1341.0
Primary Crushing - B,Grizzly,2024-07-29T00:16:05.000000,2024-07-29T00:24:26.000000,501.0
Primary Crushing - A,Crusher,2024-07-29T00:39:05.000000,2024-07-29T00:56:26.000000,1041.0
Primary Crushing - A,Grizzly,2024-07-29T01:24:05.000000,2024-07-29T01:37:26.000000,801.0
Primary Crushing - B,Grizzly,2024-07-29T01:31:05.000000,2024-07-29T01:40:26.000000,561.0
Primary Crushing - A,Grizzly,2024-07-29T01:52:05.000000,2024-07-29T01:57:26.000000,321.0
Primary Crushing - B,Crusher,2024-07-29T02:21:05.000000,2024-07-29T02:36:26.000000,921.0
Primary Crushing - B,Grizzly,2024-07-29T02:47:05.000000,2024-07-29T02:55:26.000000,501.0
Primary Crushing - B,Grizzly,2024-07-29T03:10:05.000000,2024-07-29T03:16:26.000000,381.0
Primary Crushing - A,Grizzly,2024-07-29T03:44:05.000000,2024-07-29T03:58:26.000000,861.0
Primary Crushing - A,Crusher,2024-07-29T04:02:05.000000,2024-07-29T04:12:26.000000,621.0
Primary Crushing - A,Grizzly,2024-07-29T04:27:05.000000,2024-07-29T04:35:26.000000,501.0
Primary Crushing - A,Grizzly,2024-07-29T05:29:05.000000,2024-07-29T05:35:26.000000,381.0
Primary Crushing - B,Grizzly,2024-07-29T05:36:05.000000,2024-07-29T05:42:26.000000,381.0
Primary Crushing - A,Crusher,2024-07-29T05:37:05.000000,2024-07-29T06:00:26.000000,1401.0
Primary Crushing - A,Grizzly,2024-07-29T06:06:05.000000,2024-07-29T06:25:26.000000,248.88886149888438
Primary Crushing - B,Crusher,2024-07-29T06:19:05.000000,2024-07-29T06:25:26.000000,381.0
Primary Crushing - A,Grizzly,2024-07-29T06:28:05.000000,2024-07-29T06:42:26.000000,861.0
Primary Crushing - A,Crusher,2024-07-29T06:57:05.000000,2024-07-29T07:06:26.000000,561.0
Primary Crushing - B,Grizzly,2024-07-29T07:27:05.000000,2024-07-29T07:51:26.000000,1461.0
Primary Crushing - B,Crusher,2024-07-29T08:08:05.000000,2024-07-29T08:14:26.000000,381.0
Primary Crushing - B,Grizzly,2024-07-29T08:32:05.000000,2024-07-29T08:42:26.000000,621.0
Primary Crushing - A,Grizzly,2024-07-29T08:54:05.000000,2024-07-29T08:59:26.000000,321.0
Primary Crushing - A,Grizzly,2024-07-29T10:00:05.000000,2024-07-29T10:09:26.000000,561.0
Primary Crushing - B,Grizzly,2024-07-29T12:00:05.000000,2024-07-29T12:07:26.000000,441.0
Primary Crushing - A,Crusher,2024-07-29T12:07:05.000000,2024-07-29T12:16:26.000000,561.0
Primary Crushing - B,Grizzly,2024-07-29T13:13:05.000000,2024-07-29T13:28:26.000000,921.0
Primary Crushing - A,Grizzly,2024-07-29T13:37:05.000000,2024-07-29T13:52:26.000000,921.0
Primary Crushing - A,Grizzly,2024-07-29T15:15:05.000000,2024-07-29T15:28:26.000000,801.0
Primary Crushing - B,Grizzly,2024-07-29T16:24:05.000000,2024-07-29T16:47:26.000000,1401.0
Primary Crushing - A,Grizzly,2024-07-29T16:27:05.000000,2024-07-29T16:32:26.000000,321.0
Primary Crushing - B,Crusher,2024-07-29T16:51:05.000000,2024-07-29T17:00:26.000000,561.0
Primary Crushing - A,Grizzly,2024-07-29T17:02:05.000000,2024-07-29T17:09:26.000000,441.0
Primary Crushing - B,Grizzly,2024-07-29T19:01:05.000000,2024-07-29T19:06:26.000000,321.0
Primary Crushing - B,Crusher,2024-07-29T19:52:05.000000,2024-07-29T20:04:26.000000,741.0
Primary Crushing - B,Grizzly,2024-07-29T20:15:05.000000,2024-07-29T20:26:26.000000,681.0
Primary Crushing - B,Crusher,2024-07-29T20:55:05.000000,2024-07-29T21:08:26.000000,284.35606899348835
Primary Crushing - B,Crusher,2024-07-29T21:06:05.000000,2024-07-29T21:20:26.000000,861.0
Primary Crushing - B,Crusher,2024-07-29T21:28:05.000000,2024-07-29T21:35:26.000000,441.0
Primary Crushing - A,Crusher,2024-07-29T21:55:05.000000,2024-07-29T22:03:26.000000,501.0
Primary Crushing - B,Grizzly,2024-07-29T22:48:05.000000,2024-07-29T22:55:26.000000,441.0
Primary Crushing - B,Grizzly,2024-07-29T23:09:05.000000,2024-07-29T23:16:26.000000,441.0
Primary Crushing - A,Grizzly,2024-07-29T23:15:05.000000,2024-07-29T23:20:26.000000,321.0
Primary Crushing - A,Grizzly,2024-07-30T01:38:05.000000,2024-07-30T01:44:26.000000,381.0
Primary Crushing - B,Grizzly,2024-07-30T03:00:05.000000,2024-07-30T03:10:26.000000,621.0
Primary Crushing - B,Grizzly,2024-07-30T03:13:05.000000,2024-07-30T03:19:26.000000,381.0
Primary Crushing - B,Crusher,2024-07-30T06:49:05.000000,2024-07-30T06:59:26.000000,621.0
Primary Crushing - B,Grizzly,2024-07-30T07:01:05.000000,2024-07-30T07:11:26.000000,621.0
Primary Crushing - B,Crusher,2024-07-30T07:47:05.000000,2024-07-30T07:55:26.000000,501.0
Primary Crushing - B,Grizzly,2024-07-30T08:14:05.000000,2024-07-30T08:22:26.000000,501.0
Primary Crushing - A,Grizzly,2024-07-30T09:42:05.000000,2024-07-30T09:59:26.000000,1041.0
Primary Crushing - A,Grizzly,2024-07-30T11:32:05.000000,2024-07-30T11:42:26.000000,621.0
Primary Crushing - A,Grizzly,2024-07-30T13:30:05.000000,2024-07-30T13:40:26.000000,621.0
Primary Crushing - B,Grizzly,2024-07-30T16:08:05.000000,2024-07-30T16:15:26.000000,441.0
Primary Crushing - A,Grizzly,2024-07-30T17:49:05.000000,2024-07-30T18:26:26.000000,2241.0
Primary Crushing - B,Grizzly,2024-07-30T17:57:05.000000,2024-07-30T18:38:26.000000,2481.0
Primary Crushing - A,Grizzly,2024-07-30T18:54:05.000000,2024-07-30T19:07:26.000000,801.0
Primary Crushing - B,Grizzly,2024-07-30T21:14:05.000000,2024-07-30T21:21:26.000000,441.0
Primary Crushing - B,Grizzly,2024-07-30T23:00:05.000000,2024-07-30T23:10:26.000000,621.0
Primary Crushing - B,Grizzly,2024-07-31T00:08:05.000000,2024-07-31T00:14:26.000000,381.0
Primary Crushing - A,Grizzly,2024-07-31T00:11:05.000000,2024-07-31T00:22:26.000000,681.0
Primary Crushing - A,Crusher,2024-07-31T01:44:05.000000,2024-07-31T01:53:26.000000,561.0
Primary Crushing - B,Grizzly,2024-07-31T04:19:05.000000,2024-07-31T04:24:26.000000,321.0
Primary Crushing - B,Crusher,2024-07-31T04:44:05.000000,2024-07-31T04:52:26.000000,501.0
Primary Crushing - A,Grizzly,2024-07-31T05:46:05.000000,2024-07-31T06:15:26.000000,1761.0
Primary Crushing - A,Grizzly,2024-07-31T06:13:05.000000,2024-07-31T06:32:26.000000,923.7380620982609
Primary Crushing - A,Grizzly,2024-07-31T06:30:05.000000,2024-07-31T06:40:26.000000,621.0
Primary Crushing - B,Crusher,2024-07-31T07:52:05.000000,2024-07-31T08:22:26.000000,1821.0
Primary Crushing - B,Grizzly,2024-07-31T09:04:05.000000,2024-07-31T09:09:26.000000,321.0
Primary Crushing - B,Crusher,2024-07-31T09:24:05.000000,2024-07-31T09:40:26.000000,981.0
Primary Crushing - B,Grizzly,2024-07-31T11:30:05.000000,2024-07-31T11:48:26.000000,1101.0
Primary Crushing - B,Crusher,2024-07-31T12:07:05.000000,2024-07-31T12:27:26.000000,346.16222938000004
Primary Crushing - A,Grizzly,2024-07-31T12:25:05.000000,2024-07-31T12:43:26.000000,1101.0
Primary Crushing - B,Grizzly,2024-07-31T12:49:05.000000,2024-07-31T12:56:26.000000,441.0
Primary Crushing - A,Grizzly,2024-07-31T12:55:05.000000,2024-07-31T13:27:26.000000,1941.0
Primary Crushing - B,Grizzly,2024-07-31T13:14:05.000000,2024-07-31T13:19:26.000000,321.0
Primary Crushing - B,Grizzly,2024-07-31T13:26:05.000000,2024-07-31T13:43:26.000000,1041.0
Primary Crushing - A,Crusher,2024-07-31T13:32:05.000000,2024-07-31T13:50:26.000000,1101.0
Primary Crushing - B,Crusher,2024-07-31T13:52:05.000000,2024-07-31T14:12:26.000000,1221.0
Primary Crushing - B,Grizzly,2024-07-31T14:22:05.000000,2024-07-31T14:30:26.000000,501.0
Primary Crushing - A,Grizzly,2024-07-31T14:23:05.000000,2024-07-31T14:33:26.000000,282.4789994503448
Primary Crushing - A,Grizzly,2024-07-31T14:31:05.000000,2024-07-31T14:48:26.000000,1041.0
Primary Crushing - A,Grizzly,2024-07-31T15:00:05.000000,2024-07-31T15:08:26.000000,501.0
Primary Crushing - B,Grizzly,2024-07-31T15:08:05.000000,2024-07-31T15:13:26.000000,321.0
Primary Crushing - A,Grizzly,2024-07-31T15:30:05.000000,2024-07-31T15:40:26.000000,621.0
Primary Crushing - A,Grizzly,2024-07-31T15:47:05.000000,2024-07-31T15:54:26.000000,441.0
Primary Crushing - A,Grizzly,2024-07-31T16:09:05.000000,2024-07-31T16:29:26.000000,1221.0
Primary Crushing - B,Grizzly,2024-07-31T16:14:05.000000,2024-07-31T16:21:26.000000,441.0
Primary Crushing - A,Crusher,2024-07-31T16:30:05.000000,2024-07-31T16:38:26.000000,501.0
Primary Crushing - B,Grizzly,2024-07-31T16:40:05.000000,2024-07-31T16:50:26.000000,621.0
Primary Crushing - A,Grizzly,2024-07-31T17:02:05.000000,2024-07-31T17:12:26.000000,621.0
Primary Crushing - B,Grizzly,2024-07-31T17:14:05.000000,2024-07-31T17:30:26.000000,981.0
Primary Crushing - B,Grizzly,2024-07-31T18:21:05.000000,2024-07-31T18:27:26.000000,381.0
Primary Crushing - A,Grizzly,2024-07-31T18:26:05.000000,2024-07-31T18:39:26.000000,801.0
Primary Crushing - B,Grizzly,2024-07-31T19:01:05.000000,2024-07-31T19:07:26.000000,381.0
Primary Crushing - B,Grizzly,2024-07-31T19:12:05.000000,2024-07-31T19:19:26.000000,441.0
Primary Crushing - A,Grizzly,2024-07-31T19:13:05.000000,2024-07-31T19:19:26.000000,381.0
Primary Crushing - B,Grizzly,2024-07-31T19:49:05.000000,2024-07-31T19:55:26.000000,381.0
Primary Crushing - A,Grizzly,2024-07-31T19:58:05.000000,2024-07-31T20:07:26.000000,561.0
Primary Crushing - B,Grizzly,2024-07-31T21:06:05.000000,2024-07-31T21:13:26.000000,441.0
Primary Crushing - B,Grizzly,2024-07-31T21:49:05.000000,2024-07-31T21:56:26.000000,441.0
Primary Crushing - B,Grizzly,2024-07-31T22:40:05.000000,2024-07-31T22:47:26.000000,441.0
Primary Crushing - B,Grizzly,2024-07-31T23:05:05.000000,2024-07-31T23:15:26.000000,621.0
Primary Crushing - B,Grizzly,2024-07-31T23:33:05.000000,2024-07-31T23:40:26.000000,441.0
Primary Crushing - B,Grizzly,2024-07-31T23:55:05.000000,2024-08-01T00:00:26.000000,321.0
Primary Crushing - A,Grizzly,2024-08-01T06:39:05.000000,2024-08-01T06:51:26.000000,741.0
Primary Crushing - B,Grizzly,2024-08-01T08:11:05.000000,2024-08-01T08:21:26.000000,621.0
Primary Crushing - B,Crusher,2024-08-01T08:24:05.000000,2024-08-01T08:34:26.000000,621.0
Primary Crushing - A,Grizzly,2024-08-01T08:31:05.000000,2024-08-01T08:38:26.000000,441.0
