AREA,LOCATION,EVENT_START,EVENT_END,LENGTH
Primary Crushing - A,Grizzly,2024-08-01T09:40:05.000000,2024-08-01T09:54:26.000000,861.0
Primary Crushing - B,Grizzly,2024-08-01T09:53:05.000000,2024-08-01T10:04:26.000000,681.0
Primary Crushing - B,Crusher,2024-08-01T10:02:05.000000,2024-08-01T10:35:26.000000,2001.0
Primary Crushing - B,Grizzly,2024-08-01T11:13:05.000000,2024-08-01T11:27:26.000000,861.0
Primary Crushing - A,Grizzly,2024-08-01T11:16:05.000000,2024-08-01T11:24:26.000000,501.0
Primary Crushing - A,Grizzly,2024-08-01T11:48:05.000000,2024-08-01T11:55:26.000000,441.0
Primary Crushing - B,Grizzly,2024-08-01T11:54:05.000000,2024-08-01T12:10:26.000000,981.0
Primary Crushing - A,Grizzly,2024-08-01T12:33:05.000000,2024-08-01T12:43:26.000000,621.0
Primary Crushing - B,Grizzly,2024-08-01T12:47:05.000000,2024-08-01T12:56:26.000000,561.0
Primary Crushing - A,Grizzly,2024-08-01T13:07:05.000000,2024-08-01T13:14:26.000000,441.0
Primary Crushing - B,Grizzly,2024-08-01T13:28:05.000000,2024-08-01T13:36:26.000000,263.27928029614395
Primary Crushing - B,Crusher,2024-08-01T13:34:05.000000,2024-08-01T13:38:26.000000,256.35326677557254
Primary Crushing - B,Crusher,2024-08-01T13:36:05.000000,2024-08-01T13:43:26.000000,441.0
Primary Crushing - B,Grizzly,2024-08-01T13:50:05.000000,2024-08-01T14:01:26.000000,681.0
Primary Crushing - B,Grizzly,2024-08-01T14:02:05.000000,2024-08-01T14:09:26.000000,441.0
Primary Crushing - B,Grizzly,2024-08-01T14:52:05.000000,2024-08-01T15:04:26.000000,741.0
Primary Crushing - B,Crusher,2024-08-01T15:05:05.000000,2024-08-01T15:58:26.000000,3201.0
Primary Crushing - B,Grizzly,2024-08-01T18:23:05.000000,2024-08-01T18:34:26.000000,681.0
Primary Crushing - B,Grizzly,2024-08-01T22:28:05.000000,2024-08-01T22:37:26.000000,561.0
Primary Crushing - A,Grizzly,2024-08-01T22:35:05.000000,2024-08-01T22:46:26.000000,681.0
Primary Crushing - A,Grizzly,2024-08-01T23:38:05.000000,2024-08-01T23:46:26.000000,501.0
Primary Crushing - A,Grizzly,2024-08-01T23:57:05.000000,2024-08-02T00:03:26.000000,381.0
